model,key,type,status,chamfer,fscore,precision,recall
instantmesh,bed,bed,ok,0.184333,0.1705,0.8031,0.0954
instantmesh,bookshelf,bookshelf,ok,0.200446,0.1553,1.0,0.0842
instantmesh,cabinet,cabinet,ok,0.076082,0.4074,0.4704,0.3593
instantmesh,chair,chair,ok,0.152774,0.2103,0.6622,0.125
instantmesh,desk,desk,ok,0.287291,0.0631,0.9682,0.0326
instantmesh,lamp,lamp,ok,0.140559,0.3276,0.9641,0.1973
instantmesh,office_chair,office_chair,ok,0.107747,0.3937,0.6033,0.2922
instantmesh,sofa,sofa,ok,0.148533,0.2642,0.6999,0.1628
instantmesh,stool,stool,ok,0.03843,0.5975,0.4992,0.7441
instantmesh,table,table,ok,0.027794,0.8304,0.9879,0.7162
sf3d,bed,bed,ok,0.127404,0.3542,0.6498,0.2434
sf3d,bookshelf,bookshelf,ok,0.203686,0.1504,1.0,0.0813
sf3d,cabinet,cabinet,ok,0.161976,0.2437,0.4167,0.1722
sf3d,chair,chair,ok,0.176807,0.2172,0.6365,0.1309
sf3d,desk,desk,ok,0.262268,0.091,0.6728,0.0488
sf3d,lamp,lamp,ok,0.192817,0.2165,0.9658,0.1219
sf3d,office_chair,office_chair,ok,0.059573,0.4979,0.6525,0.4025
sf3d,sofa,sofa,ok,0.153742,0.1992,0.7663,0.1145
sf3d,stool,stool,ok,0.048591,0.6865,0.8288,0.5859
sf3d,table,table,ok,0.237258,0.2386,0.8011,0.1402
trellis,bed,bed,ok,0.036577,0.6521,0.578,0.7479
trellis,bookshelf,bookshelf,ok,0.203413,0.1556,0.9937,0.0844
trellis,cabinet,cabinet,ok,0.048021,0.4578,0.4717,0.4446
trellis,chair,chair,ok,0.164557,0.2419,0.6558,0.1483
trellis,desk,desk,ok,0.269643,0.1217,0.9691,0.0649
trellis,lamp,lamp,ok,0.197984,0.1679,0.9904,0.0917
trellis,office_chair,office_chair,ok,0.121959,0.2938,0.5386,0.202
trellis,sofa,sofa,ok,0.168697,0.1825,0.8466,0.1023
trellis,stool,stool,ok,0.009753,0.9893,0.9992,0.9795
trellis,table,table,ok,0.097115,0.1999,0.2945,0.1513
trellis2,bed,bed,missing,,,,
trellis2,bookshelf,bookshelf,missing,,,,
trellis2,cabinet,cabinet,missing,,,,
trellis2,chair,chair,missing,,,,
trellis2,desk,desk,missing,,,,
trellis2,lamp,lamp,missing,,,,
trellis2,office_chair,office_chair,missing,,,,
trellis2,sofa,sofa,missing,,,,
trellis2,stool,stool,missing,,,,
trellis2,table,table,missing,,,,
triposg,bed,bed,ok,0.168076,0.3116,0.5115,0.224
triposg,bookshelf,bookshelf,ok,0.035561,0.7264,0.6955,0.7602
triposg,cabinet,cabinet,ok,0.033945,0.5502,0.5562,0.5443
triposg,chair,chair,ok,0.167497,0.1918,0.6744,0.1118
triposg,desk,desk,ok,0.275791,0.0871,0.9273,0.0457
triposg,lamp,lamp,ok,0.200222,0.1973,0.9844,0.1096
triposg,office_chair,office_chair,ok,0.037424,0.6048,0.6865,0.5405
triposg,sofa,sofa,ok,0.168157,0.1792,0.7598,0.1016
triposg,stool,stool,ok,0.01498,0.993,0.9912,0.9949
triposg,table,table,ok,0.229941,0.0596,0.7937,0.031
